DATE,SH50,HS300,ZZ500
2021-05-06,3449.939,5061.124,6489.349
2021-05-07,3406.31,4996.053,6444.443
2021-05-10,3399.985,4992.422,6475.994
2021-05-11,3437.714,5023.06,6456.038
2021-05-12,3447.862,5044.548,6512.05
2021-05-13,3413.889,4992.974,6439.027
2021-05-14,3503.037,5110.59,6525.804
2021-05-17,3539.913,5184.985,6578.14
2021-05-18,3537.696,5187.601,6599.599
2021-05-19,3511.467,5172.272,6584.387
2021-05-20,3522.451,5186.412,6548.711
2021-05-21,3481.862,5134.148,6527.864
2021-05-24,3497.747,5155.588,6544.122
2021-05-25,3641.292,5318.478,6619.671
2021-05-26,3657.19,5320.593,6628.207
2021-05-27,3664.942,5338.233,6685.405
2021-05-28,3659.296,5321.089,6668.17
2021-05-31,3650.225,5331.57,6728.991
2021-06-01,3650.903,5341.68,6739.762
2021-06-02,3622.398,5289.974,6681.429
2021-06-03,3591.156,5255.286,6667.726
2021-06-04,3612.701,5282.277,6693.057
2021-06-07,3601.109,5277.627,6721.502
2021-06-08,3580.284,5232.117,6684.563
2021-06-09,3587.532,5236.449,6692.905
2021-06-10,3607.679,5271.466,6765.644
2021-06-11,3576.777,5224.703,6725.915
2021-06-15,3528.668,5166.56,6663.662
2021-06-16,3486.288,5080.491,6566.286
2021-06-17,3481.6,5101.892,6616.174
2021-06-18,3454.589,5102.466,6657.764
2021-06-21,3431.252,5090.385,6707.176
2021-06-22,3464.706,5122.158,6739.794
2021-06-23,3471.341,5147.394,6789.946
2021-06-24,3483.909,5155.974,6754.866
2021-06-25,3535.019,5239.968,6813.414
2021-06-28,3520.743,5251.76,6828.516
2021-06-29,3482.733,5190.545,6765.42
2021-06-30,3498.649,5224.041,6808.183
2021-07-01,3535.249,5229.664,6716.666
2021-07-02,3408.237,5081.117,6658.045
2021-07-05,3404.791,5085.792,6711.014
2021-07-06,3405.279,5083.104,6709.498
2021-07-07,3424.39,5140.49,6764.132
2021-07-08,3373.256,5088.257,6748.654
2021-07-09,3361.595,5069.436,6804.539
2021-07-12,3384.507,5132.709,6904.382
2021-07-13,3391.742,5142.099,6961.848
2021-07-14,3339.381,5083.085,6898.75
2021-07-15,3411.289,5151.463,6932.406
2021-07-16,3369.899,5094.773,6925.123
2021-07-19,3385.366,5113.495,6889.338
2021-07-20,3378.629,5108.994,6901.132
2021-07-21,3388.52,5144.043,6984.542
2021-07-22,3392.717,5151.752,7026.548
2021-07-23,3357.447,5089.228,6985.75
2021-07-26,3228.37,4925.299,6868.207
2021-07-27,3126.376,4751.313,6719.256
2021-07-28,3154.635,4760.483,6621.985
2021-07-29,3182.796,4850.275,6758.887
2021-07-30,3132.821,4811.17,6767.316
2021-08-02,3211.144,4933.736,6872
2021-08-03,3223.826,4934.458,6816.011
2021-08-04,3233.103,4978.848,6931.337
2021-08-05,3227.359,4948.67,6911.829
2021-08-06,3195.696,4921.565,6938.868
